"issuekey","type","components","storypoint","title","description_text"
"ALOY-1217","Bug","Tooling|XML",8,"TextField with proxy property causes compile error as ItemTemplate","""h3. index.xml  {code:xml}  <Alloy>    <Window id=""""settingsWin"""" title=""""Settings"""" class=""""container"""" tabBarHidden=""""true"""">      <ListView id=""""listView"""" defaultItemTemplate=""""template"""" allowsSelection=""""false"""">        <Templates>          <ItemTemplate id=""""inputTemplate"""" name=""""inputTemplate"""">            <TextField              platform=""""ios""""              borderStyle=""""Ti.UI.INPUT_BORDERSTYLE_BEZEL""""              keyboardToolbarColor=""""#999"""" keyboardToolbarHeight=""""40""""              top=""""10"""" height=""""35"""" width=""""300""""              value=""""Focus to see keyboard with toolbar"""">                      <!-- Sets the keyboardToolbar property -->              <KeyboardToolbar>                <Toolbar>                  <Items>                    <Button systemButton=""""Ti.UI.iPhone.SystemButton.CANCEL"""" />                    <FlexSpace/>                    <Button systemButton=""""Ti.UI.iPhone.SystemButton.CAMERA"""" />                    <FlexSpace/>                    <Button style=""""Ti.UI.iPhone.SystemButtonStyle.DONE"""">Send</Button>                  </Items>                </Toolbar>              </KeyboardToolbar>                    </TextField>          </ItemTemplate>        </Templates>           <ListSection headerTitle=""""Login Id"""" id=""""idSection"""">          <ListItem template=""""inputTemplate"""" textfield:value=""""""""/>        </ListSection>      </ListView>    </Window>  </Alloy>  {code}    h3. index.js  {code:javascript}  $.settingsWin.open();  {code}    h3. Console output  {code}  Titanium Command-Line Interface, CLI version 3.4.1, Titanium SDK version 3.4.1.GA  Copyright (c) 2012-2014, Appcelerator, Inc.  All Rights Reserved.  Please report bugs to http://jira.appcelerator.org/  [DEBUG] :  Detecting modules in /Users/ndizazzo/Library/Application Support/Titanium/modules  [DEBUG] :  Detected android module: com.appcelerator.apm 1.0.10 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/android/com.appcelerator.apm/1.0.10  [DEBUG] :  Detected android module: facebook 3.0.2 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/android/facebook/3.0.2  [DEBUG] :  Detected android module: facebook 3.0.3 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/android/facebook/3.0.3  [DEBUG] :  Detected android module: ti.cloudpush 3.3.0 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/android/ti.cloudpush/3.3.0  [DEBUG] :  Detected android module: ti.cloudpush 3.3.4 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/android/ti.cloudpush/3.3.4  [DEBUG] :  Detected android module: ti.map 2.1.4 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/android/ti.map/2.1.4  [DEBUG] :  Detected android module: ti.map 2.2.2 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/android/ti.map/2.2.2  [DEBUG] :  Detected commonjs module: ti.cloud 3.2.3 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/commonjs/ti.cloud/3.2.3  [DEBUG] :  Detected commonjs module: ti.cloud 3.2.5 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/commonjs/ti.cloud/3.2.5  [DEBUG] :  Detected commonjs module: ti.cloud 3.2.7 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/commonjs/ti.cloud/3.2.7  [DEBUG] :  Detected iphone module: com.appcelerator.apm 1.0.10 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/iphone/com.appcelerator.apm/1.0.10  [DEBUG] :  Detected iphone module: com.appcelerator.urlSession 1.0.1 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/iphone/com.appcelerator.urlSession/1.0.1  [DEBUG] :  Detected iphone module: facebook 3.1.1 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/iphone/facebook/3.1.1  [DEBUG] :  Detected iphone module: ti.coremotion 1.0.1 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/iphone/ti.coremotion/1.0.1  [DEBUG] :  Detected iphone module: ti.map 2.0.2 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/iphone/ti.map/2.0.2  [DEBUG] :  Detected iphone module: ti.map 2.0.4 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/iphone/ti.map/2.0.4  [DEBUG] :  Detected iphone module: ti.touchid 1.0 @ /Users/ndizazzo/Library/Application Support/Titanium/modules/iphone/ti.touchid/1.0  [DEBUG] :  Detecting plugins in /Users/ndizazzo/dev/Studio_Workspace/TestApplication/plugins  [DEBUG] :  Detected plugin: ti.alloy @ /Users/ndizazzo/dev/Studio_Workspace/TestApplication/plugins/ti.alloy  [DEBUG] :  Detecting plugins in /Users/ndizazzo/Library/Application Support/Titanium/plugins  [DEBUG] :  Detected plugin: com.appcelerator.test @ /Users/ndizazzo/Library/Application Support/Titanium/plugins/com.appcelerator.test  [DEBUG] :  Looking for Titanium plugin id=ti.alloy version=1.0  [INFO] :   Found Titanium plugin id=ti.alloy version=1.0   [DEBUG] :  Titanium SDK iOS directory: /Users/ndizazzo/Library/Application Support/Titanium/mobilesdk/osx/3.4.1.GA/iphone  [INFO] :   Deploy type: development  [INFO] :   Building for target: simulator  [INFO] :   Building using iOS SDK: 8.1  [INFO] :   Building for iOS Simulator: iPhone 5s  [DEBUG] :  UDID: xxxx  [DEBUG] :  Simulator type: iphone  [DEBUG] :  Simulator version: 8.1  [INFO] :   Building for device family: universal  [DEBUG] :  Setting Xcode target to Debug  [DEBUG] :  Setting Xcode build OS to iphonesimulator8.1  [DEBUG] :  Xcode installation: /Applications/Xcode.app/Contents/Developer  [DEBUG] :  iOS WWDR certificate: installed  [DEBUG] :  Building for the following architectures: armv7 armv7s i386  [INFO] :   Minimum iOS version: 6.0  [INFO] :   Debugging disabled  [INFO] :   Profiler disabled  [INFO] :   Forcing rebuild: /Users/ndizazzo/dev/Studio_Workspace/TestApplication/build/iphone/build-manifest.json does not exist  [INFO] :   Initiating prepare phase  [INFO] :   Found Alloy app in /Users/ndizazzo/dev/Studio_Workspace/TestApplication/app  [INFO] :   Executing Alloy compile: /usr/local/bin/node /usr/local/bin/alloy compile /Users/ndizazzo/dev/Studio_Workspace/TestApplication/app --config platform=ios,version=0,simtype=none,devicefamily=universal,deploytype=development,target=simulator --no-colors  [DEBUG] :         .__  .__                  [DEBUG] :  _____  |  | |  |   ____ ___.__.  [DEBUG] :  \__  \ |  | |  |  /  _ <   |  |  [DEBUG] :   / __ \|  |_|  |_(  <_> )___  |  [DEBUG] :  (____  /____/____/\____// ____|  [DEBUG] :       \/                 \/  [DEBUG] :  Alloy 1.5.1 by Appcelerator. The MVC app framework for Titanium.  [DEBUG] :  ----- CONFIGURATION -----  [DEBUG] :  raw config = """"platform=ios,version=0,simtype=none,devicefamily=universal,deploytype=development,target=simulator""""  [DEBUG] :  platform = ios  [DEBUG] :  version = 0  [DEBUG] :  simtype = none  [DEBUG] :  devicefamily = universal  [DEBUG] :  deploytype = development  [DEBUG] :  target = simulator  [DEBUG] :  project path = /Users/ndizazzo/dev/Studio_Workspace/TestApplication  [DEBUG] :  app path = /Users/ndizazzo/dev/Studio_Workspace/TestApplication/app  [DEBUG] :    [DEBUG] :  ----- CONFIG.JSON -----  [DEBUG] :  dependencies = {}  [INFO] :   [config.json] regenerating CFG.js from config.json...  [DEBUG] :  {  [DEBUG] :  """"dependencies"""": {},  [DEBUG] :  """"sourcemap"""": true,  [DEBUG] :  """"autoStyle"""": false,  [DEBUG] :  """"adapters"""": [  [DEBUG] :  """"localStorage"""",  [DEBUG] :  """"properties"""",  [DEBUG] :  """"sql""""  [DEBUG] :  ]  [DEBUG] :  }  [DEBUG] :    [DEBUG] :  ----- CLEANING RESOURCES -----  [DEBUG] :  Removing orphaned controllers ...  [DEBUG] :  Removing orphaned models ...  [DEBUG] :  Removing orphaned styles ...  [DEBUG] :  Removing orphaned sync adapters...  [DEBUG] :  Removing orphaned assets and libs...  [DEBUG] :    [DEBUG] :  ----- BASE RUNTIME FILES -----  [DEBUG] :    [INFO] :   ----- MVC GENERATION -----  [INFO] :   [global style] writing to cache...  [INFO] :   [index.xml] view processing...  [INFO] :   style:      """"index.tss""""  [INFO] :   view:       """"index.xml""""  [DEBUG] :  /usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract._ItemArray.js:58  [DEBUG] :        return state.itemsArray + '.push(' + s.parent.symbol + ');';  [DEBUG] :                                                     ^  [ERROR] :  : Cannot read property 'symbol' of undefined  [DEBUG] :      at Object.CU.generateNodeExtended.post (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract._ItemArray.js:58:52)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/base.js:14:17)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/default.js:10:27)  [DEBUG] :      at parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Ti.UI.Button.js:30:30)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/base.js:11:17)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Ti.UI.Button.js:14:27)  [DEBUG] :      at Object.exports.generateNode (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:316:48)  [DEBUG] :      at Object.exports.generateNodeExtended (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:253:17)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract._ItemArray.js:55:16  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract._ItemArray.js:37:4)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/base.js:11:17)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract._ItemArray.js:18:27)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract.Items.js:15:48)  [DEBUG] :      at Object.exports.generateNode (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:316:48)  [DEBUG] :      at Object.exports.generateNodeExtended (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:253:17)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract._ItemContainer.js:51:15  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract._ItemContainer.js:31:4)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/base.js:11:17)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract._ItemContainer.js:20:27)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Ti.UI.iOS.Toolbar.js:11:52)  [DEBUG] :      at Object.exports.generateNode (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:316:48)  [DEBUG] :      at Object.exports.generateNodeExtended (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:253:17)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/_ProxyProperty.js:43:14  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/_ProxyProperty.js:32:4)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/base.js:11:17)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/_ProxyProperty.js:16:27)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/_ProxyProperty.KeyboardToolbar.js:12:37)  [DEBUG] :      at Object.exports.generateNode (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:316:48)  [DEBUG] :      at Object.exports.generateNodeExtended (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:253:17)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Ti.UI.TextField.js:48:14  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Ti.UI.TextField.js:30:4)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/base.js:11:17)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Ti.UI.TextField.js:20:27)  [DEBUG] :      at Object.exports.generateNode (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:316:48)  [DEBUG] :      at Object.exports.generateNodeExtended (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:253:17)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract.ItemTemplate.js:64:15  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract.ItemTemplate.js:54:5)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/base.js:11:17)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Alloy.Abstract.ItemTemplate.js:10:27)  [DEBUG] :      at Object.exports.generateNode (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:316:48)  [DEBUG] :      at Object.exports.generateNodeExtended (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:253:17)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Ti.UI.ListView.js:131:17  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Ti.UI.ListView.js:122:6  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Ti.UI.ListView.js:48:4)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/base.js:11:17)  [DEBUG] :      at Object.exports.parse (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/parsers/Ti.UI.ListView.js:29:27)  [DEBUG] :      at Object.exports.generateNode (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:316:48)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:391:29  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at Object.exports.generateNode (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/compilerUtils.js:386:5)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/index.js:577:28  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at parseAlloyComponent (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/index.js:566:5)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/index.js:258  [DEBUG] :  :6  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at /usr/local/lib/node_modules/alloy/Alloy/commands/compile/index.js:247:6  [DEBUG] :      at Array.forEach (native)  [DEBUG] :      at Function._.each._.forEach (/usr/local/lib/node_modules/alloy/Alloy/lib/alloy/underscore.js:79:11)  [DEBUG] :      at module.exports (/usr/local/lib/node_modules/alloy/Alloy/commands/compile/index.js:243:4)  [DEBUG] :      at Object.<anonymous> (/usr/local/lib/node_modules/alloy/Alloy/alloy.js:103:46)  [DEBUG] :      at Module._compile (module.js:456:26)  [DEBUG] :      at Object.Module._extensions..js (module.js:474:10)  [DEBUG] :      at Module.load (module.js:356:32)  [DEBUG] :      at Function.Module._load (module.js:312:12)  [DEBUG] :      at Module.require (module.js:364:17)  [DEBUG] :      at require (module.js:380:17)  [DEBUG] :      at Object.<anonymous> (/usr/local/lib/node_modules/alloy/bin/alloy:3:1)  [DEBUG] :      at Module._compile (module.js:456:26)  [DEBUG] :      at Object.Module._extensions..js (module.js:474:10)  [DEBUG] :      at Module.load (module.js:356:32)  [DEBUG] :      at Function.Module._load (module.js:312:12)  [DEBUG] :      at Function.Module.runMain (module.js:497:10)  [DEBUG] :      at startup (node.js:119:16)  [DEBUG] :      at node.js:906:3  [ERROR] :  Alloy compiler failed  {code}"""
"ALOY-1219","Bug","Models",3,"ALLOY: prevent parsing of {{ }} in alloy views.","""Alloy is currently catching and interpreting {{ }} as an alloy binding when it should only catch { }.    This change is needed for https://github.com/dbankier/nano."""
"ALOY-1222","Bug","Testing",3,"Fix failing Travis test `[FAIL] alloy install plugin --> is supported`","""Travis builds are failing with {{\[FAIL\] alloy install plugin --> is supported}}    Failures are caused by recent changes for ALOY-1173 and ALOY-1207"""
"ALOY-1226","Bug","Samples & Templates",3,"To Do sample app - validate() fails to prevent invalid (empty) items from being added","""The model definition in the test/apps/models/todo app includes a validation check. If a model doesn't pass this check, it should not be added to the database. However, empty items are being added.     Per the [Backbone docs|http://backbonejs.org/#Model-validate], you override the validate function with your own code. If a model fails validation, you return any string and save() will be prevented. """
"ALOY-1228","Bug","Runtime|Tooling",3,"Selective compilation can fail with platform-specific controllers and throws Exception incorrectly","""Per email from David Bankier, the compilation-optimization technique implemented in [PR625|https://github.com/appcelerator/alloy/pull/625] will fail in certain cases. He suggests the following changes be made to fix these issues:    * https://github.com/xavierlacot/alloy/pull/1  * https://github.com/xavierlacot/alloy/pull/2     Investigate and implement, add tests"""
"ALOY-1231","Improvement","Samples & Templates",2,"Mapping sample: add readme, remove map key","""Add a readme file to the samples/mapping app that describes the steps that an Android developer would need to follow to run the app (obtain a key, which file to update, etc.) Include a reference to the Guides where the we describe how to obtain a key.     Also, update the JMK file to remove the old key (commented out currently). Replace it with something like {{// Paste your key here}}"""
"ALOY-1234","New Feature","Documentation",2,"Annotate Alloy API docs with GitHub URL","""To support TIDOC-2058, the following PR adds an {{@editurl}} field to the JSDuck docs for each public class.    https://github.com/appcelerator/alloy/pull/659    Ideally, this would be done by a doc build script (like we do for Titanium), but since there are just a few Alloy docs to annotate, this seemed a more direct approach."""
"ALOY-1238","Bug","Tooling",3,"Can't re-create index controller after renaming original one","""h5. Scenario  I want to refactor an existing Alloy app by moving/re-naming the current index.xml/js/tss controller triad to something else, and then create a new index controller.    h6. Steps:  1. Create a new Alloy app.  2. Rename views/index.xml, styles/index.tss, and controllers/index.js to views/main.xml, styles/main.tss, and controllers/main.js.  3. Create a new """"index"""" controller:      h6. Results:  Actual:    Expected: I can create a new index controller w/o error.    """
"ALOY-1237","New Feature","Runtime",8,"Alloy: Remove all event listeners added via view in $.destroy()","""Too make it easier for developers to clean up the event listeners they've added via the XML view ({{onClick}} and other attributes), could we make it so that if you add an event listener that way, that it would also be removed in the {{$.destroy()}} method?    The developer would still be responsible for calling that method and for removing listeners he added in the controller, but it would align nicely with the current behaviour of the method where it also cleans up a listener added via the view, which is for the {{<Collection>}} or {{<Model}}> tag.    For reference:  https://github.com/appcelerator/alloy/blob/master/test/apps/basics/markup_events/_generated/ios/alloy/controllers/index.js#L44-L49    Perhaps the {{__defers}} object could be used for this in some way?    We could even go as far as extending the Backbone {{$.listenTo()}} method that if its first argument is a proxy, then it would both pass it on to that proxies' {{addEventListener}} method and queue it for removal in {{$.destroy}} at the same time."""
"ALOY-1239","Improvement","Tooling",5,"Set Node 0.10 as minimum supported version","""Update the minimum supported version of Node to 0.10.x. Make sure to check for and update any version checks in the code as well as updating the package.json file."""
"ALOY-1249","Bug","Runtime",5,"iOS: Misleading error message when controller file not found","""When Alloy can't find a controller on iOS, it gives a message saying that a module (controllerName) for architecture (arm7/arm64) can't be found. very confusing, becuase it sounds like there's a native module problem.    {code:title=index.js}  Alloy.createController('foo');  {code}"""
"ALOY-1252","Bug","Tooling",3,"restrictionPath missing in parseAlloyComponent for controller without corresponding view","""As reported at https://github.com/dbankier/TiShadow/issues/388#issuecomment-73190579 Alloy optimizes all JS files when using the selective compile feature implemented in ALOY-1216.    Community PR to resolve this: https://github.com/appcelerator/alloy/pull/661    Needs verification and testing.    """
"ALOY-1257","Bug","XML",1,"Map DocumentViewer to Ti.UI.iOS instead of deprecated Ti.UI.iPad namespace","""The {{DocumentViewer}} tag is currently [mapped|https://github.com/appcelerator/alloy/blob/master/Alloy/common/constants.js#L195] to the {{Ti.UI.iPad}} namespace, while that has been deprecated since Ti SDK 3.0.0 in favour of {{Ti.UI.iOS}}.    * PR on master: https://github.com/appcelerator/alloy/pull/673/files"""
"ALOY-1262","Bug","Runtime",5,"a directory ending with "".js"" causes Alloy compiler error","""This bug is related to [ALOY-920], which introduced a fix for the specific case of {{should.js}}.    When building an Alloy project containg a library directory named with a {{.js}} suffix, the compiler fails:        The {{getJsFiles()}} Alloy compiler method filters which files have to be optimized, as in https://github.com/appcelerator/alloy/blob/master/Alloy/commands/compile/index.js#L1017  This method fails to exclude items which are directories ending with {{.js}}, and {{uglifyjs.parse()}} then throws an error.    A pull request has been submitted at https://github.com/appcelerator/alloy/pull/683"""
"ALOY-1278","Improvement","Models",3,"Pass model config to migration functions","""It will be nice if sql sync adapter will pass model config to migration functions. It will get access to model columns inside migration for example.        Community PR: https://github.com/appcelerator/alloy/pull/684"""
"ALOY-1265","Sub-task","Builtins",5,"Update builtin moment.js library to 2.10.6 (or latest)","""Moment.js has changed how it handles time zones/UTC. Took me forever to figure out why my calls to {{moment().utcOffset();}} didn't work."""
"ALOY-1273","Bug","Documentation",2,"Code documentation contains links to out-dated Titanium docs","""The (code) documentation in the Alloy repository contains links to the now out-dated Titanium documentation, where it should be updated to link to the Platform documentation:    https://github.com/appcelerator/alloy/search?utf8=%E2%9C%93&q=%22titanium%2Flatest%22"""
"ALOY-1276","Bug","Runtime",5,"Alloy's deepExtend is broken","""Since [this commit|https://github.com/appcelerator/alloy/commit/84c9470d9932a5ad762f8220db79802d91ec4c86], the {{deepExtend()}} method present in Alloy is broken, as deeply merged properties get overwritten three line below.    The method should not state:      but:        As a consequence, this method is purely useless."""
"ALOY-1280","New Feature","XML",5,"Support CommandBar in XML markup","""Windows Phone has a platform-specific feature called the CommandBar, similar to the Android Action Bar or iOS Toolbar.  The Titanium.UI.Windows.CommandBar object is assigned an array of buttons and separators to its items property for it to display.    For a classic Titanium example, see: https://appcelerator.github.io/appc-docs/latest/#!/api/Titanium.UI.Windows.CommandBar    Example of an Alloy view using the CommandBar  """
"ALOY-1281","Improvement","Samples & Templates",3,"RSS sample should be removed in favour of Studio version","""The RSS sample in the Alloy repository...  https://github.com/appcelerator/alloy/tree/master/samples/rss    .. should be removed to avoid confusion now Studio has an updated version:  https://github.com/appcelerator-developer-relations/Sample.RSS"""
"ALOY-1283","Bug","XML",5,"ActionView views with an ID cannot be found under $ because they are created after merge","""ALOY-1175 fixed this issue for IDs set on {{<MenuItem>}} but it is still an issue for views under {{<ActionView>}}. Because they are created after the controller merges {{$.__views}} with {{$}} you cannot access the views via {{$.<id>}}.    *index.xml*    {code:xml}  <Alloy>      <Window>          <Menu>              <MenuItem title=""""Open"""" showAsAction=""""Titanium.Android.SHOW_AS_ACTION_ALWAYS"""">                  <ActionView>                      <View id=""""myViewInActionView"""" backgroundColor=""""red"""">                       <Button onClick=""""changeColor"""">Change Color</Button>                      </View>                  </ActionView>              </MenuItem>          </Menu>                  </Window>  </Alloy>  {code}    *index.js*    {code:javascript}  $.index.open();     function changeColor() {    $.myViewInActionView.backgroundColor = 'green';  }  {code}"""
"ALOY-1287","Bug","Styling",5,"Alloy styles compilation does not produce the same results accross successive compilations","""In some cases, when the developer overloads in a stylesheets some styles defined in the {{app.tss}} files, the alloy compilation won't produce the same resulting javascript accross successive compilations.    Alloy's styler orders style rules to define their priority, but there's a bug with the {{app.tss}} global styles being cached and therefore not correctly being counted by the styler during a compilation phase when {{app.tss}} didn't change.    Steps to reproduce:     * create a new alloy app, replace its {{app}} folder with the one contained in the attached app.zip file   * compile once: {{alloy compile --config platform=ios}}. Check in {{Resources/iphone/alloy/controllers/sum.js}} that the style rules defined in {{app/styles/sum.tss}} are applied correctly   * compile again, the generated javascript in the {{Resources}} directory differ. In particular, the {{Resources/iphone/alloy/controllers/sum.js}} does only contain rules from the {{app.tss}} file.    A PR is being proposed to fix this problem."""
"ALOY-1288","Bug","Samples & Templates",3,"Windows: Label not visible when using default app.tss","""The [default app.tss|https://github.com/appcelerator/alloy/blob/master/Alloy/template/app.tss] sets the Window backgroundColor to white for all platforms. on Windows the default color of a label is white, making them invisible when using the default {{app.tss}}. Just like we do for Android, we should set the Label color to black.    Note: There might still be issues with other elements that default to white on Windows, like titles in ListViews."""
